EmployeeID,Gender,MS,Hiredate,YearsOfService
81,M,M,1999-02-01 00:00:00,14
82,M,S,1999-02-02 00:00:00,14
83,M,S,1999-02-02 00:00:00,14
85,M,S,1999-02-03 00:00:00,14
86,M,S,1999-02-03 00:00:00,14
87,M,S,1999-02-04 00:00:00,14
90,M,M,1999-02-05 00:00:00,14
92,M,S,1999-02-05 00:00:00,14
93,M,M,1999-02-06 00:00:00,14
95,M,S,1999-02-07 00:00:00,14
96,M,M,1999-02-08 00:00:00,14
97,M,S,1999-02-08 00:00:00,14
98,M,M,1999-02-09 00:00:00,14
99,M,S,1999-02-11 00:00:00,14
100,M,M,1999-02-12 00:00:00,14
101,M,S,1999-02-12 00:00:00,14
102,M,M,1999-02-12 00:00:00,14
103,M,S,1999-02-13 00:00:00,14
104,M,M,1999-02-13 00:00:00,14
107,M,M,1999-02-14 00:00:00,14
108,M,M,1999-02-15 00:00:00,14
109,M,S,1999-02-15 00:00:00,14
110,M,S,1999-02-15 00:00:00,14
111,M,S,1999-02-16 00:00:00,14
113,M,M,1999-02-17 00:00:00,14
115,M,M,1999-02-18 00:00:00,14
116,M,M,1999-02-18 00:00:00,14
117,M,S,1999-02-18 00:00:00,14
121,M,M,1999-02-21 00:00:00,14
122,M,S,1999-02-22 00:00:00,14
123,M,M,1999-02-22 00:00:00,14
124,M,S,1999-02-22 00:00:00,14
126,M,M,1999-02-23 00:00:00,14
127,M,S,1999-02-23 00:00:00,14
128,M,M,1999-02-23 00:00:00,14
129,M,S,1999-02-24 00:00:00,14
130,M,S,1999-02-25 00:00:00,14
131,M,M,1999-02-26 00:00:00,14
132,M,M,1999-02-27 00:00:00,14
133,M,S,1999-02-27 00:00:00,14
134,M,S,1999-02-28 00:00:00,14
138,M,S,1999-03-02 00:00:00,14
139,M,M,1999-03-03 00:00:00,14
141,M,S,1999-03-04 00:00:00,14
142,M,M,1999-03-04 00:00:00,14
143,M,M,1999-03-05 00:00:00,14
144,M,S,1999-03-06 00:00:00,14
145,M,M,1999-03-06 00:00:00,14
146,M,M,1999-03-06 00:00:00,14
148,M,S,1999-03-07 00:00:00,14
149,M,S,1999-03-07 00:00:00,14
152,M,S,1999-03-09 00:00:00,14
154,M,S,1999-03-10 00:00:00,14
155,M,M,1999-03-12 00:00:00,14
156,M,S,1999-03-12 00:00:00,14
157,M,M,1999-03-12 00:00:00,14
158,M,M,1999-03-12 00:00:00,14
159,M,S,1999-03-12 00:00:00,14
160,M,M,1999-03-13 00:00:00,14
162,M,M,1999-03-14 00:00:00,14
163,M,S,1999-03-14 00:00:00,14
164,M,S,1999-03-14 00:00:00,14
165,M,M,1999-03-15 00:00:00,14
166,M,M,1999-03-15 00:00:00,14
168,M,S,1999-03-17 00:00:00,14
169,M,M,1999-03-17 00:00:00,14
170,M,M,1999-03-17 00:00:00,14
171,M,M,1999-03-18 00:00:00,14
172,M,S,1999-03-19 00:00:00,14
173,M,S,1999-03-19 00:00:00,14
174,M,S,1999-03-19 00:00:00,14
177,M,S,1999-03-20 00:00:00,14
179,M,M,1999-03-22 00:00:00,14
180,M,M,1999-03-23 00:00:00,14
183,M,M,1999-03-25 00:00:00,14
184,M,S,1999-03-25 00:00:00,14
185,M,S,1999-03-26 00:00:00,14
187,M,S,1999-03-27 00:00:00,14
188,M,S,1999-03-27 00:00:00,14
190,M,M,1999-03-28 00:00:00,14
191,M,S,1999-03-29 00:00:00,14
192,M,S,1999-03-29 00:00:00,14
193,M,S,1999-03-30 00:00:00,14
194,M,M,1999-03-30 00:00:00,14
195,M,M,1999-03-30 00:00:00,14
196,M,M,1999-03-30 00:00:00,14
198,M,M,1999-04-01 00:00:00,14
199,M,S,1999-04-01 00:00:00,14
200,M,S,1999-04-01 00:00:00,14
203,M,M,1999-04-03 00:00:00,14
204,M,S,1999-04-04 00:00:00,14
206,M,M,1999-04-04 00:00:00,14
208,M,S,1999-04-06 00:00:00,14
209,M,S,1999-04-06 00:00:00,14
211,M,S,1999-04-07 00:00:00,14
212,M,M,1999-04-07 00:00:00,14
213,M,S,1999-04-08 00:00:00,14
215,M,M,1999-04-09 00:00:00,14
216,M,S,1999-04-09 00:00:00,14
217,M,M,1999-06-04 00:00:00,14
218,M,M,2000-01-03 00:00:00,13
219,M,S,2000-01-04 00:00:00,13
220,M,S,2000-01-07 00:00:00,13
221,M,M,2000-01-12 00:00:00,13
222,M,S,2000-01-12 00:00:00,13
225,M,M,2000-01-22 00:00:00,13
226,M,S,2000-01-23 00:00:00,13
228,M,S,2000-01-26 00:00:00,13
229,M,S,2000-01-30 00:00:00,13
231,M,M,2000-02-05 00:00:00,13
232,M,S,2000-02-07 00:00:00,13
233,M,M,2000-02-12 00:00:00,13
236,M,S,2000-02-18 00:00:00,13
237,M,M,2000-02-23 00:00:00,13
238,M,M,2000-02-24 00:00:00,13
239,M,M,2000-02-25 00:00:00,13
240,M,M,2000-02-25 00:00:00,13
241,M,S,2000-02-28 00:00:00,13
242,M,S,2000-02-28 00:00:00,13
243,M,S,2000-03-01 00:00:00,13
245,M,S,2000-03-04 00:00:00,13
246,M,M,2000-03-08 00:00:00,13
247,M,S,2000-03-08 00:00:00,13
248,M,M,2000-03-11 00:00:00,13
249,M,M,2000-03-15 00:00:00,13
250,M,S,2000-03-16 00:00:00,13
253,M,M,2000-03-26 00:00:00,13
254,M,S,2000-03-26 00:00:00,13
255,M,M,2000-03-26 00:00:00,13
256,M,S,2000-03-30 00:00:00,13
257,M,S,2000-04-03 00:00:00,13
259,M,M,2000-04-05 00:00:00,13
261,M,M,2000-04-09 00:00:00,13
262,M,M,2000-04-10 00:00:00,13
263,M,S,2001-01-05 00:00:00,12
266,M,M,2001-01-25 00:00:00,12
267,M,S,2001-01-30 00:00:00,12
268,M,M,2001-02-04 00:00:00,12
271,M,S,2001-03-10 00:00:00,12
273,M,S,2001-03-18 00:00:00,12
275,M,S,2001-07-01 00:00:00,12
278,M,M,2001-07-01 00:00:00,12
279,M,M,2001-07-01 00:00:00,12
281,M,M,2001-07-01 00:00:00,12
282,M,M,2001-07-01 00:00:00,12
283,M,S,2001-07-01 00:00:00,12
286,M,S,2002-07-01 00:00:00,11
287,M,M,2002-11-01 00:00:00,11
288,M,M,2003-04-15 00:00:00,10
